Year|Prov|Grade|Group|Tot|Grads|Perc
94/95| Prov |07|AB|2540|2339|92
94/95| Prov |07|XAB|46410|44857|97
94/95| Prov |07|ELL|4679|4504|96
94/95| Prov |07|FRI|3209|3147|98
94/95| Prov |07|SN|0|0|
94/95| Prov |08|ALL|47720|44280|93
94/95| Prov |08|FEM|23370|21870|94
94/95| Prov |08|MAL|24350|22410|92
94/95| Prov |08|AB|2538|1974|78
94/95| Prov |08|XAB|45182|42306|94
94/95| Prov |08|ELL|3336|3156|95
94/95| Prov |08|FRI|2571|2505|97
94/95| Prov |08|SN|0|0|
94/95| Prov |09|ALL|46262|42135|91
94/95| Prov |09|FEM|22685|20770|92
94/95| Prov |09|MAL|23577|21365|91
94/95| Prov |09|AB|2209|1612|73
94/95| Prov |09|XAB|44053|40523|92
94/95| Prov |09|ELL|3617|3342|92
94/95| Prov |09|FRI|2239|2167|97
94/95| Prov |09|SN|0|0|
94/95| Prov |10|ALL|45563|39132|86
94/95| Prov |10|FEM|22425|19415|87
94/95| Prov |10|MAL|23138|19717|85
94/95| Prov |10|AB|2274|1417|62
94/95| Prov |10|XAB|43289|37715|87
94/95| Prov |10|ELL|4096|3681|90
94/95| Prov |10|FRI|1909|1852|97
94/95| Prov |10|SN|0|0|
94/95| Prov |11|ALL|45879|35940|78
94/95| Prov |11|FEM|22904|18147|79
94/95| Prov |11|MAL|22975|17793|77
94/95| Prov |11|AB|1996|1100|55
94/95| Prov |11|XAB|43883|34840|79
94/95| Prov |11|ELL|4519|3533|78
94/95| Prov |11|FRI|1355|1306|96
94/95| Prov |11|SN|0|0|
95/96| Prov |01|ALL|46093|44329|96
95/96| Prov |01|FEM|22715|21919|96
95/96| Prov |01|MAL|23378|22410|96
95/96| Prov |01|AB|2677|2492|93
95/96| Prov |01|XAB|43416|41837|96
95/96| Prov |01|ELL|5597|5375|96
95/96| Prov |01|FRI|2730|2657|97
95/96| Prov |01|SN|0|0|
95/96| Prov |02|ALL|48643|45609|94
95/96| Prov |02|FEM|23762|22567|95
95/96| Prov |02|MAL|24881|23042|93
95/96| Prov |02|AB|2894|2603|90
95/96| Prov |02|XAB|45749|43006|94
95/96| Prov |02|ELL|6010|5688|95
95/96| Prov |02|FRI|2578|2443|95
95/96| Prov |02|SN|0|0|
95/96| Prov |03|ALL|47691|44747|94
95/96| Prov |03|FEM|23153|21968|95
95/96| Prov |03|MAL|24538|22779|93
95/96| Prov |03|AB|2799|2501|89
95/96| Prov |03|XAB|44892|42246|94
95/96| Prov |03|ELL|5779|5364|93
95/96| Prov |03|FRI|2361|2279|97
95/96| Prov |03|SN|0|0|
95/96| Prov |04|ALL|46209|44539|96
95/96| Prov |04|FEM|22262|21498|97
95/96| Prov |04|MAL|23947|23041|96
95/96| Prov |04|AB|2759|2579|93
95/96| Prov |04|XAB|43450|41960|97
95/96| Prov |04|ELL|5253|5026|96
95/96| Prov |04|FRI|2072|2014|97
95/96| Prov |04|SN|0|0|
95/96| Prov |05|ALL|50240|48722|97
95/96| Prov |05|FEM|24672|23948|97
95/96| Prov |05|MAL|25568|24774|97
95/96| Prov |05|AB|2790|2638|95
95/96| Prov |05|XAB|47450|46084|97
95/96| Prov |05|ELL|5356|5143|96
95/96| Prov |05|FRI|2358|2310|98
95/96| Prov |05|SN|0|0|
95/96| Prov |06|ALL|50359|48829|97
95/96| Prov |06|FEM|24475|23778|97
95/96| Prov |06|MAL|25884|25051|97
95/96| Prov |06|AB|2765|2636|95
95/96| Prov |06|XAB|47594|46193|97
95/96| Prov |06|ELL|5124|4955|97
95/96| Prov |06|FRI|3099|3037|98
95/96| Prov |06|SN|0|0|
95/96| Prov |07|ALL|49852|48178|97
95/96| Prov |07|FEM|24186|23404|97
95/96| Prov |07|MAL|25666|24774|97
95/96| Prov |07|AB|2760|2549|92
